ID	periodo	temp	tipo 
0	0.4117	0	fora
0	0.3029	0	fora
0	0.3189	0	fora
0	0.3599	0	fora
0	0.1276	0	fora
0	0.2843	0	fora
0	0.2023	0	fora
0	0.3776	0	fora
0	0.1563	0	fora
0	0.2485	0	fora
0	0.2882	0	fora
0	0.2440	0	fora
0	0.4306	0	fora
0	0.2352	0	fora
0	0.4445	0	fora
0	0.3708	0	fora
0	0.2360	0	fora
0	0.2459	0	fora
0	0.2211	0	fora
0	0.3382	0	fora
0	0.1556	0	fora
0	0.4557	0	fora
0	0.1887	0	fora
0	0.2093	0	fora
0	0.2520	0	fora
0	0.3523	0	fora
0	0.3981	0	fora
0	0.2657	0	fora
0	0.2960	0	fora
0	0.1874	0	fora
0	0.1307	0	fora
0	0.1945	0	fora
0	0.4011	0	fora
0	0.3151	0	fora
0	0.1504	0	fora
0	0.3436	0	fora
0	0.2172	0	fora
0	0.4255	0	fora
0	0.5681	0	fora
0	0.1769	0	fora
0	0.2154	0	fora
0	0.4182	0	fora
0	0.3001	0	fora
0	0.1535	0	fora
0	0.3006	0	fora
